RX_ID,X,Y,Z,SNR_dB,RX_Power_dBm,CQI,LOS,User_Request,Request_Label
31,-20.31,81.62,1.50,27.33,-65.66,14,0,I need to sync my calendar and contacts,eMBB
32,-82.55,125.33,1.50,14.50,-78.48,10,0,I need to balance electrical load in real-time across microgrids,URLLC
33,26.27,96.00,1.50,23.45,-69.54,13,0,I want to read news articles online,eMBB
34,-23.56,102.67,1.50,22.33,-70.66,12,0,I want to read news articles online,eMBB
35,67.55,20.42,1.50,30.21,-62.78,15,0,I need to synchronize multiple robots on a factory floor,URLLC
36,-91.58,107.53,1.50,15.83,-77.16,10,0,I need to participate in a video conference meeting,eMBB
37,-159.85,-114.95,1.50,8.14,-84.85,7,0,I need instant facial recognition for public security threats,URLLC
38,-32.01,72.03,1.50,28.79,-64.20,15,0,I want to stream music while browsing social media,eMBB
39,-241.16,-26.11,1.50,3.76,-89.23,6,0,I need to synchronize distributed financial ledgers instantly,URLLC
40,-73.43,78.69,1.50,21.83,-71.16,12,0,I want to participate in a virtual reality gaming session,eMBB
41,-204.58,-42.50,1.50,6.98,-86.01,7,0,I need reliable connectivity for implanted medical devices,URLLC
42,-239.42,62.18,1.50,3.42,-89.57,6,0,I need to stream 8K video content,eMBB
43,-139.72,-98.87,1.50,11.17,-81.82,8,0,I want to update my social media status,eMBB
44,-103.53,-70.07,1.50,17.95,-75.04,11,0,I need AI-based video analytics,eMBB
45,-196.73,15.35,1.50,8.31,-84.68,7,0,I need to detect and isolate power grid faults instantly,URLLC
46,-181.87,150.11,1.50,4.53,-88.46,6,0,I need to use cloud-based AI services for image processing,eMBB
47,-248.96,67.44,1.50,2.50,-90.49,5,0,I need AI-based video analytics,eMBB
48,44.56,-64.57,1.50,27.31,-65.68,14,0,I want to read news articles online,eMBB
49,-133.76,-107.58,1.50,11.08,-81.91,8,0,I need to control a robotic arm in real time,URLLC
50,-139.73,46.23,1.50,14.80,-78.19,10,0,I want to stream music while browsing social media,eMBB
51,-70.96,-15.39,1.50,29.91,-63.08,15,0,I need immediate machine shutdown capability for safety incidents,URLLC
52,12.44,27.62,1.50,49.30,-43.69,15,0,I want to use augmented reality navigation,eMBB
53,-229.80,-7.10,1.50,4.95,-88.04,6,0,I want to listen to low-quality audio streaming,eMBB
54,-189.89,-90.54,1.50,6.76,-86.23,7,0,I need my autonomous vehicle to communicate in real time,URLLC
55,-220.19,-51.99,1.50,5.24,-87.75,6,0,I need to make a high-quality voice call,eMBB
56,-48.73,112.14,1.50,19.04,-73.95,11,0,I need to control remote diagnostic equipment in rural clinics,URLLC
57,-43.46,146.23,1.50,14.14,-78.85,9,0,I need instant alerts for life-threatening patient conditions,URLLC
58,-91.79,-78.25,1.50,18.66,-74.33,11,0,I want to use holographic communication,eMBB
59,-105.59,145.94,1.50,10.48,-82.51,8,0,I want to stream a webinar with interactive features,eMBB
60,-209.23,23.34,1.50,6.91,-86.08,7,0,I want to use remote surgery equipment,URLLC
61,-175.45,62.39,1.50,9.65,-83.34,8,0,I need real-time fraud detection for financial transactions,URLLC
62,38.94,48.40,1.50,33.51,-59.48,15,0,I need to monitor and control critical manufacturing processes in real-time,URLLC
63,-255.49,-55.88,1.50,2.10,-90.89,5,0,I need to control remote diagnostic equipment in rural clinics,URLLC
64,-26.41,49.86,1.50,36.24,-56.75,15,0,I need to check weather forecasts,eMBB
65,-113.52,-102.00,1.50,13.60,-79.39,9,0,I want to use holographic communication,eMBB
66,-127.05,-99.61,1.50,12.41,-80.58,9,0,I need to control critical infrastructure with zero downtime,URLLC
67,-74.44,102.65,1.50,18.22,-74.77,11,0,I want to download a large software update,eMBB
68,-50.35,72.08,1.50,26.34,-66.65,14,0,I need to monitor and control critical manufacturing processes in real-time,URLLC
69,57.13,117.72,1.50,17.36,-75.63,11,0,I need microsecond-level latency for high-frequency tradin,URLLC
70,-119.50,98.09,1.50,13.81,-79.18,9,0,I need to use maps for basic navigation,eMBB
71,-116.61,-95.43,1.50,13.89,-79.10,9,0,I want to use augmented reality navigation,eMBB
72,-194.51,119.64,1.50,5.22,-87.77,6,0,I want to read news articles online,eMBB
73,-91.42,-113.87,1.50,14.48,-78.51,10,0,I want to use augmented reality navigation,eMBB
74,-86.50,-79.58,1.50,19.20,-73.79,11,0,I want to participate in a virtual reality gaming session,eMBB
75,13.50,-35.98,1.50,41.67,-51.32,15,0,I need microsecond-level latency for high-frequency tradin,URLLC
76,-54.34,126.71,1.50,16.38,-76.61,10,0,I need to detect and isolate power grid faults instantly,URLLC
77,21.12,130.60,1.50,17.21,-75.78,11,0,I want to download a big game file,eMBB
78,-66.32,96.25,1.50,20.03,-72.96,12,0,I need microsecond-level latency for high-frequency tradin,URLLC
79,-248.18,-57.25,1.50,2.67,-90.32,5,0,I need emergency response coordination during a disaste,URLLC
80,-143.26,102.25,1.50,10.95,-82.04,8,0,I need reliable communication for firefighters inside buildings,URLLC
81,-158.34,-3.91,1.50,13.07,-79.92,9,0,I need emergency response coordination during a disaste,URLLC
82,-87.43,102.02,1.50,16.93,-76.06,10,0,I need to balance electrical load in real-time across microgrids,URLLC
83,-98.59,-34.24,1.50,21.98,-71.01,12,0,I want to stream a live sports event in HD,eMBB
84,42.69,-108.30,1.50,19.04,-73.95,11,0,I want to use augmented reality navigation,eMBB
85,-212.27,124.84,1.50,3.56,-89.43,6,0,I need to control precision CNC machines with zero tolerance for delay,URLLC
86,11.12,-42.94,1.50,38.88,-54.11,15,0,I want to download a large software update,eMBB
87,-43.36,-0.38,1.50,41.21,-51.78,15,0,I need to make a high-quality voice call,eMBB
88,-79.43,-71.21,1.50,21.28,-71.71,12,0,I need to monitor and control critical manufacturing processes in real-time,URLLC
89,-244.62,57.81,1.50,3.06,-89.93,6,0,I need to transmit real-time patient vital signs during critical care,URLLC
90,-0.85,-91.96,1.50,24.05,-68.94,13,0,I need instant alerts for life-threatening patient conditions,URLLC
91,-192.45,-64.86,1.50,7.56,-85.43,7,0,I want to read news articles online,eMBB
92,41.86,146.32,1.50,14.10,-78.89,9,0,I want to update my social media status,eMBB
93,-32.40,46.31,1.50,36.19,-56.80,15,0,I want to use remote surgery equipment,URLLC
94,-7.66,-35.51,1.50,43.04,-49.95,15,0,I need to send text messages and use messaging apps,eMBB
95,-216.84,-105.14,1.50,3.81,-89.18,6,0,I want to stream a webinar with interactive features,eMBB
96,-208.67,-18.70,1.50,6.96,-86.03,7,0,I want to download a large software update,eMBB
97,-207.47,144.99,1.50,2.97,-90.02,6,0,I want to download a big game file,eMBB
98,-178.89,110.30,1.50,7.04,-85.95,7,0,I need to control critical infrastructure with zero downtime,URLLC
99,-154.54,-72.47,1.50,11.29,-81.70,8,0,I need to control precision CNC machines with zero tolerance for delay,URLLC
100,-143.20,-77.46,1.50,12.29,-80.70,9,0,I need reliable connectivity for implanted medical devices,URLLC
101,-80.41,-39.06,1.50,25.24,-67.75,13,0,I need emergency response coordination during a disaste,URLLC
102,-219.26,-37.25,1.50,5.63,-87.36,6,0,I want to remotely access my work computer,URLLC
103,-37.32,-55.26,1.50,31.06,-61.93,15,0,I need to detect and isolate power grid faults instantly,URLLC
104,-6.24,75.88,1.50,29.51,-63.48,15,0,I need to deploy early warning systems for natural disasters,URLLC
105,6.05,-52.77,1.50,35.32,-57.67,15,0,I need to monitor IoT sensors in real-time,URLLC
106,-88.10,-36.35,1.50,23.91,-69.08,13,0,I need to check weather forecasts,eMBB
107,-224.68,27.43,1.50,5.33,-87.66,6,0,I want to browse websites and check email,eMBB
108,-58.87,47.91,1.50,29.53,-63.45,15,0,I need to use maps for basic navigation,eMBB
109,-216.16,45.84,1.50,5.87,-87.12,7,0,I need to make a high-quality voice call,eMBB
110,58.24,23.34,1.50,32.79,-60.20,15,0,I want to play competitive mobile games with ultra-low latency,URLLC
111,-16.73,28.83,1.50,47.95,-45.04,15,0,I need to participate in an online multiplayer game,URLLC
112,-179.26,-53.28,1.50,9.36,-83.63,8,0,I need to monitor and control critical manufacturing processes in real-time,URLLC
113,-97.71,146.67,1.50,10.96,-82.03,8,0,I want to download a big game file,eMBB
114,-43.96,12.56,1.50,40.42,-52.57,15,0,I want to browse websites and check email,eMBB
115,-169.25,-31.52,1.50,11.20,-81.79,8,0,I need to synchronize distributed financial ledgers instantly,URLLC
116,-189.23,-85.01,1.50,7.07,-85.92,7,0,I need real-time traffic updates for navigation,URLLC
117,-17.72,142.65,1.50,15.44,-77.55,10,0,I need immediate machine shutdown capability for safety incidents,URLLC
118,-176.61,50.05,1.50,9.94,-83.05,8,0,I need to participate in an online multiplayer game,URLLC
119,-232.66,-49.20,1.50,4.17,-88.82,6,0,I want to watch 4K video,eMBB
120,1.23,-22.43,1.50,51.70,-41.29,15,0,I need to monitor and control critical manufacturing processes in real-time,URLLC
121,-89.49,91.80,1.50,17.96,-75.03,11,0,I want to play competitive mobile games with ultra-low latency,URLLC
122,-175.48,-40.29,1.50,10.21,-82.78,8,0,I need real-time traffic updates for navigation,URLLC
123,-242.98,-9.64,1.50,3.72,-89.27,6,0,I need to monitor and control critical manufacturing processes in real-time,URLLC
124,-55.26,-8.46,1.50,35.59,-57.40,15,0,I need to stream 8K video content,eMBB
125,-63.97,-21.08,1.50,31.43,-61.56,15,0,I want to remotely access my work computer,URLLC
126,-235.84,7.53,1.50,4.40,-88.59,6,0,I want to participate in a virtual reality gaming session,eMBB
127,41.63,87.34,1.50,23.98,-69.01,13,0,I need to use maps for basic navigation,eMBB
128,-114.89,-79.02,1.50,15.59,-77.40,10,0,I need to participate in a video conference meeting,eMBB
129,-69.50,35.08,1.50,28.87,-64.12,15,0,I need to control precision CNC machines with zero tolerance for delay,URLLC
130,-67.29,-9.61,1.50,31.39,-61.60,15,0,I need to make a high-quality voice call,eMBB
131,38.26,57.96,1.50,31.16,-61.83,15,0,I want to participate in a virtual reality gaming session,eMBB
132,38.56,42.29,1.50,35.22,-57.77,15,0,I need immediate machine shutdown capability for safety incidents,URLLC
133,-171.35,128.86,1.50,6.62,-86.37,7,0,I want to participate in a virtual reality gaming session,eMBB
134,-152.92,-95.09,1.50,10.09,-82.90,8,0,I need to sync my calendar and contacts,eMBB
135,-247.81,81.87,1.50,2.26,-90.73,5,0,I need instant facial recognition for public security threats,URLLC
136,-2.60,-31.12,1.50,45.82,-47.17,15,0,I need microsecond-level latency for high-frequency tradin,URLLC
137,-50.16,-1.60,1.50,38.05,-54.94,15,0,I want to participate in a virtual reality gaming session,eMBB
138,-222.67,-66.68,1.50,4.64,-88.35,6,0,I need AI-based video analytics,eMBB
139,-60.39,-3.66,1.50,33.99,-59.00,15,0,I need immediate machine shutdown capability for safety incidents,URLLC
140,-54.37,-73.81,1.50,24.39,-68.60,13,0,I want to stream a live sports event in HD,eMBB
141,-168.72,-86.32,1.50,9.01,-83.98,8,0,I need microsecond-level latency for high-frequency tradin,URLLC
142,-15.01,-35.68,1.50,41.97,-51.02,15,0,I want to play competitive mobile games with ultra-low latency,URLLC
143,-16.97,85.41,1.50,26.55,-66.44,14,0,I need to use maps for basic navigation,eMBB
144,-38.40,146.03,1.50,14.37,-78.62,10,0,I need to control precision CNC machines with zero tolerance for delay,URLLC
145,-223.67,92.39,1.50,3.92,-89.07,6,0,I need to synchronize multiple robots on a factory floor,URLLC
146,-148.23,126.10,1.50,8.75,-84.24,8,0,I want to stream a live sports event in HD,eMBB
147,-60.69,73.93,1.50,24.46,-68.53,13,0,I need to monitor and control critical manufacturing processes in real-time,URLLC
148,40.56,66.75,1.50,28.62,-64.37,15,0,I want to participate in a virtual reality gaming session,eMBB
149,38.79,-98.44,1.50,21.05,-71.94,12,0,I need emergency response coordination during a disaste,URLLC
150,-183.72,112.66,1.50,6.49,-86.50,7,0,I want to read news articles online,eMBB
151,-120.34,138.73,1.50,10.04,-82.94,8,0,I need to control remote diagnostic equipment in rural clinics,URLLC
152,-48.91,-59.15,1.50,28.18,-64.81,14,0,I want to download a big game file,eMBB
153,-17.96,64.17,1.50,32.52,-60.47,15,0,I need my autonomous vehicle to communicate in real time,URLLC
154,-24.57,-73.94,1.50,27.64,-65.35,14,0,I need reliable connectivity for implanted medical devices,URLLC
155,-155.00,149.37,1.50,6.54,-86.45,7,0,I want to browse websites and check email,eMBB
156,-74.25,62.69,1.50,24.07,-68.92,13,0,I need to control remote diagnostic equipment in rural clinics,URLLC
157,-57.36,10.29,1.50,35.03,-57.96,15,0,I want to monitor my home security cameras remotely,URLLC
158,-234.73,36.09,1.50,4.28,-88.70,6,0,I want to stream a live sports event in HD,eMBB
159,-143.57,-95.20,1.50,11.04,-81.95,8,0,I need to make a high-quality voice call,eMBB
160,-181.44,63.85,1.50,8.94,-84.05,8,0,I need to synchronize multiple robots on a factory floor,URLLC
161,34.30,85.67,1.50,25.06,-67.93,13,0,I need emergency response coordination during a disaste,URLLC
162,-184.80,-1.74,1.50,9.71,-83.28,8,0,I need to sync my calendar and contacts,eMBB
163,-69.69,-53.58,1.50,25.46,-67.53,13,0,I need to transmit real-time patient vital signs during critical care,URLLC
164,-200.86,1.14,1.50,7.90,-85.09,7,0,I need instant facial recognition for public security threats,URLLC
165,-194.57,126.43,1.50,4.87,-88.12,6,0,I need instant alerts for life-threatening patient conditions,URLLC
166,66.66,137.03,1.50,14.02,-78.97,9,0,I need to control a robotic arm in real time,URLLC
167,2.41,130.89,1.50,17.48,-75.51,11,0,I need instant facial recognition for public security threats,URLLC
168,-137.29,67.39,1.50,14.00,-78.99,9,0,I need to download large files,eMBB
169,-160.09,-60.23,1.50,11.28,-81.71,8,0,I need to control a robotic arm in real time,URLLC
170,-27.04,-92.43,1.50,23.18,-69.81,13,0,I want to stream music while browsing social media,eMBB
171,-170.14,5.85,1.50,11.52,-81.47,9,0,I want to stream a live sports event in HD,eMBB
172,-124.26,143.07,1.50,9.36,-83.63,8,0,I need to transmit real-time patient vital signs during critical care,URLLC
173,37.02,-114.08,1.50,18.42,-74.57,11,0,I want to remotely access my work computer,URLLC
174,-24.50,-67.27,1.50,29.42,-63.57,15,0,I need to monitor and control critical manufacturing processes in real-time,URLLC
175,-58.70,55.25,1.50,28.22,-64.77,14,0,I need to monitor and control critical manufacturing processes in real-time,URLLC
176,-157.78,-25.83,1.50,12.82,-80.17,9,0,I need vehicle-to-vehicle collision avoidance systems,URLLC
177,-114.05,-20.85,1.50,19.79,-73.20,11,0,I need to sync my calendar and contacts,eMBB
178,25.42,-61.75,1.50,30.62,-62.37,15,0,I need my autonomous vehicle to communicate in real time,URLLC
179,-148.07,80.08,1.50,11.90,-81.09,9,0,I need to control a robotic arm in real time,URLLC
180,-178.71,-34.73,1.50,9.98,-83.01,8,0,I want to monitor my home security cameras remotely,URLLC
181,-214.45,5.01,1.50,6.47,-86.52,7,0,I need to monitor and control critical manufacturing processes in real-time,URLLC
182,41.22,-47.47,1.50,31.89,-61.10,15,0,I want to listen to low-quality audio streaming,eMBB
183,57.89,-50.51,1.50,27.80,-65.19,14,0,I want to use holographic communication,eMBB
184,66.35,53.65,1.50,26.45,-66.54,14,0,I need to send text messages and use messaging apps,eMBB
185,-97.05,-105.42,1.50,14.91,-78.08,10,0,I need reliable connectivity for implanted medical devices,URLLC
186,14.02,-67.27,1.50,30.05,-62.94,15,0,I need my autonomous vehicle to communicate in real time,URLLC
187,-229.67,-40.89,1.50,4.59,-88.40,6,0,I need to check weather forecasts,eMBB
188,60.58,-112.17,1.50,17.13,-75.86,10,0,I need to stream 8K video content,eMBB
189,63.78,-46.30,1.50,27.30,-65.69,14,0,I need real-time traffic updates for navigation,URLLC
190,-121.72,93.31,1.50,13.98,-79.01,9,0,I need to transmit real-time patient vital signs during critical care,URLLC
191,-176.74,135.25,1.50,5.80,-87.19,7,0,I need to monitor IoT sensors in real-time,URLLC
192,-97.04,127.68,1.50,13.04,-79.95,9,0,I need to stream 8K video content,eMBB
193,-76.86,-58.61,1.50,23.44,-69.55,13,0,I want to use remote surgery equipment,URLLC
194,-180.05,143.75,1.50,5.04,-87.95,6,0,I want to remotely access my work computer,URLLC
195,-232.12,-61.20,1.50,3.95,-89.04,6,0,I want to participate in a virtual reality gaming session,eMBB
196,68.23,31.31,1.50,29.01,-63.98,15,0,I want to browse websites and check email,eMBB
197,-54.46,120.35,1.50,17.33,-75.66,11,0,I need reliable communication for firefighters inside buildings,URLLC
198,-94.70,-15.53,1.50,23.91,-69.08,13,0,I need instant alerts for life-threatening patient conditions,URLLC
199,43.85,-115.41,1.50,17.81,-75.18,11,0,I need to control critical infrastructure with zero downtime,URLLC
200,29.20,108.67,1.50,20.74,-72.25,12,0,I need to balance electrical load in real-time across microgrids,URLLC
